Artist,Genres,Songs,Popularity,Link
Ivete Sangalo,Pop; Axé; Romântico,313,4.4,/ivete-sangalo/
Chiclete com Banana,Axé,268,3.8,/chiclete-com-banana/
Banda Eva,Axé; Romântico; Reggae,215,2.3,/banda-eva/
É O Tchan,Axé,129,1.6,/e-o-tchan/
Claudia Leitte,Pop; Axé; Romântico,167,1.5,/claudia-leitte/
Harmonia do Samba,Axé; Samba; Pagode,237,0.9,/harmonia-do-samba/
Ara Ketu,Axé; Pop,139,1.5,/ara-ketu/
Daniela Mercury,MPB; Axé,230,1.4,/daniela-mercury/
Olodum,Axé,74,1.3,/olodum/
Netinho,Axé,204,2,/netinho/
Asa de Águia,Axé; Forró; Romântico,267,1,/asa-de-aguia/
Cheiro de Amor,Axé; Romântico; Chillout,185,1,/cheiro-de-amor/
Timbalada,Axé,139,1,/timbalada/
Carlinhos Brown,Axé,111,1.4,/carlinhos-brown/
Tomate,Romântico; Axé; Reggae,78,0,/tomate/
Jammil e Uma Noites,Axé; Romântico; Trilha Sonora,141,1,/jammil-e-uma-noites/
Luiz Caldas,Axé,113,0,/luiz-caldas/
Margareth Menezes,Axé; Samba; MPB,136,1,/margareth-menezes/
Jauperi,Axé,48,0,/jauperi/
Babado Novo,Axé; Pop; Romântico,149,0,/babado-novo/
Parangolé,Axé; Pagode; Samba,113,1,/parangole/
Psirico,Axé; Pagode; Funk,116,1,/psirico/
Banda Grafith,Axé,133,0,/banda-grafith/
Tchakabum,Axé,34,0.2,/tchakabum/
Bamda Mel,Axé,177,0,/banda-mel/
Black Style,Pagode; Axé; Funk,59,0,/black-style/
Chicabana,Axé; Romântico; Pagode,86,0,/chicabana/
Banda Beijo,Axé; Dance; Pop/Rock,77,0,/banda-beijo/
Axé Bahia,Axé; Funk; Electronica,20,0,/axe-bahia/
Oz Bambaz,Axé; Pagode; Samba,107,0,/oz-bambaz/
Rapazolla,Axé; Romântico; Dance,76,0,/rapazolla/
Tonho Matéria,Axé,111,0,/tonho-materia/
Alexandre Peixe,Axé; Romântico; Pagode,59,0,/alexandre-peixe/
Leva Nóiz,Axé; Pagode; Funk,39,0,/leva-noiz/
Lucas Féllix,Pop; Axé; Sertanejo,28,0,/lucas-fellix/
Saiddy Bamba,Pagode; Axé; Samba,78,0,/saiddy-bamba/
Sharon (Axé Moi),Funk Carioca; Axé; Funk,7,0,/sharon-axe-moi/
Talokudo,Axé; Funk; Forró,4,0,/talokudo/
Tá Demais,Axé; Pagode,6,0,/ta-demais/
Samir Matos,Sertanejo; MPB; Axé,32,0,/samir-matos/
Ouro Fino,Axé,3,0,/ouro-fino/
Gab Ferruz,World Music; Axé; MPB,3,0,/gab-ferruz/
Cannibal,Axé,31,0,/cannibal/
Uata Anderson,MPB; Pop; Axé,16,0,/uata-anderson/
Beyoncé,Pop; R&B; Black Music,276,205.5,/beyonce/
Bruno Mars,R&B; Pop; Black Music,122,62.5,/bruno-mars/
Rihanna,Pop; R&B; Black Music,246,51.2,/rihanna/
50 Cent,Hip Hop; Rap; Black Music,469,40.7,/50-cent/
John Legend,R&B; Black Music; Soul Music,169,44.5,/john-legend/
Racionais Mc's,Hip Hop; Rap; Black Music,81,42.9,/racionais-mcs/
Michael Jackson,Pop; R&B; Black Music,300,36,/michael-jackson/
Alicia Keys,Black Music; Soul Music; R&B,216,33.1,/alicia-keys/
Black Eyed Peas,Electronica; Black Music; Hip Hop,165,36.7,/black-eyed-peas/
Whitney Houston,Romântico; Trilha Sonora; Black Music,126,14.9,/whitney-houston/
Justin Timberlake,Hip Hop; Dance; Pop,139,16.3,/justin-timberlake/
Akon,Rap; Black Music; Pop,335,17.4,/akon/
Snoop Dogg,Hip Hop; Rap; Black Music,494,13,/snoop-dogg/
Chris Brown,Rap; Hip Hop; Pop,624,11.8,/chris-brown/
Tupac Shakur,Hip Hop; Rap; Black Music,383,10.3,/2pac-tupac-shakur/
Kanye West,Hip Hop; R&B; Rap,298,14,/kanye-west/
Nicki Minaj,Rap; Pop; Hip Hop,288,10.1,/nicki-minaj/
Ne-yo,Hip Hop; Black Music; R&B,307,9.4,/ne-yo/
Jennifer Lopez,Dance; Pop; R&B,216,6.6,/jennifer-lopez/
Lauryn Hill,Black Music; Soul Music; Hip Hop,60,5.2,/lauryn-hill/
Destiny's Child,Black Music; R&B; Hip Hop,125,5.5,/destinys-child/
Cherish,Hip Hop; Black Music; R&B,44,4.5,/cherish/
Usher,Black Music; R&B; Hip Hop,263,5.1,/usher/
The Pussycat Dolls,Dance; Black Music; Hip Hop,57,3.8,/the-pussycat-dolls/
Flo Rida,Black Music; Hip Hop; Rap,120,4,/flo-rida/
Nelly,Rap; Black Music; Hip Hop,171,4.4,/nelly/
Thalles Roberto,Gospel/Religioso; Pop; Black Music,142,3.5,/thalles-roberto/
Fergie,Hip Hop; Pop; R&B,71,4,/fergie/
Jason Derulo,Pop; R&B; Hip Hop,123,3.7,/jason-derulo/
Jay-Z,Hip Hop; Rap; Black Music,318,3.9,/jay-z/
Seu Jorge,MPB; Samba; Black Music,107,2.8,/seu-jorge/
Lil Wayne,R&B; Black Music; Rap,693,4.3,/lil-wayne/
Soulja Boy,Black Music; Rap; Hip Hop,237,3.9,/soulja-boy/
Prince,R&B; Black Music; Funk,585,2.8,/prince/
