ALink,SName,SLink,Lyric,language
/ivete-sangalo/,Arerê,/ivete-sangalo/arere.html,"Tudo o que eu quero nessa vida,
Toda vida, é
É amar você
Amar você

O seu amor é como uma chama acesa
Queima de prazer
De prazer

Eu já falei com Deus que não vou te deixar
Vou te levar pra onde for
Qualquer lugar
Já fiz de tudo pra não te perder

Arerê,
Um lobby, um hobby, um love com você
Arerê,
Um lobby, um hobby, um love com você

Cai, cai, cai, cai, cai pra cá
Hey, hey, hey
Tu-do,tu-do, vai rolar",pt
/chiclete-com-banana/,Contando As Horas,/chiclete-com-banana/contando-as-horas.html,"Lê lê lê ô na na na uê


Não dá pra tirar da cabeça
Seus olhos, seus beijos, você
Eu vivo sonhando acordado
Pensando em te ver

Seu jeito me deixa sem jeito
Sua voz toca o meu coração
Saudade machuca meu peito
Não demore não

Você é a razão da minha vida
Meu céu, meu ar o meu chão
Meu sonho, meu porto seguro a minha paixão
Preciso sentir seu carinho
Sozinho posso enlouquecer
Me leva pra sempre em seus braços
Eu amo você


Tô contando as horas
Contando os minutos
Os segundos pra te ver
Uououo vem pra mim
Que eu sou louco por você


Tô contando as horas
Contando os minutos
Os segundos pra te ver
Uououo vem pra mim
Eu não vivo sem você",pt
/banda-eva/,Eva,/banda-eva/eva.html,"Meu amor, olha só hoje o sol não apareceu
É o fim da aventura humana na Terra
Meu planeta adeus,
Fugiremos nós dois na arca de Noé
Olha bem meu amor é o final da odisseia terrestre

Sou Adão e você será...
Minha pequena Eva (Eva)
O nosso amor na última astronave (Eva)
Além do infinito eu vou voar
Sozinho com você
E voando bem alto (Eva)
Me abraça pelo espaço de um instante (Eva)
Me cobre com teu corpo e me dá
a força pra viver...

Meu amor, olha só hoje o sol não apareceu
É o fim da aventura humana na Terra
Meu planeta adeus,
Fugiremos nós dois na arca de Noé
Olha bem meu amor no final da odisséia terrestre

Eu sou Adão e você será...
Minha pequena Eva (Eva)
O nosso amor na última astronave (Eva)
Além do infinito eu vou voar
Sozinho com você
E voando bem alto (Eva)
Me abraça pelo espaço de um instante(Eva)
Me cobre com teu corpo e me dá
a força pra viver...

E pelo espaço de um instante
Afinal não há nada mais que o céu azul pra gente voar
Sobre o Rio, Beirute ou Madagascar
Toda a Terra reduzida a nada,a nada mais
Minha vida é um flash
de controles, botões anti-atômicos

Olha bem meu amor,
é o final da odisséia terrestre
Sou Adão e você será
Minha pequena Eva (Eva)
O nosso amor na última astronave (Eva)
além do infinito eu vou voar
sozinho com você
E voando bem alto (Eva)
Me abraça pelo espaço de um instante (Eva)
me cobre com teu corpo e me dá
a força pra viver

Minha pequena Eva (Eva)
O nosso amor na ultima astronave (Eva)
alem do infinito eu vou voar
sozinho com você...",pt
/e-o-tchan/,Pau Que Nasce Torto/ Melô do Tchan,/e-o-tchan/pau-que-nasce-torto-melo-do-tchan.html,"Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça
Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça

Olha Domingo, ela não vai (vai, vai)
Domingo, ela não vai, não (vai, vai, vai)
Olha Domingo, ela não vai (vai, vai)
Domingo, ela não vai, não (vai, vai, vai)

Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça
Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça

Olha Domingo, ela não vai (vai, vai)
Domingo, ela não vai, não (vai, vai, vai)
Olha Domingo, ela não vai (vai, vai)
Todo mundo segurando essa tchan, vamo embora (vai, vai, vai)

Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan
Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan

Este é o Gera Samba arrebentando no pedaço
Joga ela no meio, mete em cima, mete em baixo
Este é o Gera Samba arrebentando no pedaço
Joga ela no meio, mete em cima, mete em baixo

Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan
Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan

Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça
Pau que nasce torto nunca se endireita
Menina que requebra... mãe, pega na cabeça

Olha Domingo, ela não vai (vai, vai)
Domingo, ela não vai, não (vai, vai, vai)
Olha Domingo, ela não vai (vai, vai)
Domingo, ela não vai, não (vai, vai, vai)

E Tudo que é perfeito a gente pega pelo braço
Joga ela pro meio, mete em cima, mete em baixo
Tudo que é perfeito a gente pega pelo braço
Joga ela pro meio, mete em cima, mete em baixo

Depois de nove meses você vê o resultado
Depois de nove meses você vê o resultado
Depois de nove meses você vê o resultado
Depois de nove meses você vê o resultado

Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan
Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan

Este é o Gera Samba arrebentando no pedaço
Joga ela no meio, mete em cima, mete em baixo
Este é o Gera Samba arrebentando no pedaço
Joga ela no meio, mete em cima, mete em baixo

Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan
Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan

Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan
Segura o Tchan, amarra o Tchan
Segura o Tchan, Tchan, Tchan, Tchan, Tchan",pt
/claudia-leitte/,Amor Perfeito,/claudia-leitte/amor-perfeito.html,"Fecho os olhos pra não ver passar o tempo
Sinto falta de você...
Anjo bom, amor perfeito no meu peito
Sem você não sei viver

Então vem
Que eu conto os dias, conto as horas pra te ver
Eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você...

Os segundos vão passando lentamente
Não tem hora pra chegar
Até quando te amando,te querendo
Coração quer te encontrar

Então vem...
Que nos teus braços esse amor é uma canção
Eu não consigo te esquecer
Cada minuto é muito tempo sem você, sem você...

Eu não vou saber me acostumar
Sem suas mãos pra me acalmar
Sem seu olhar pra me entender
Sem seu carinho, amor, sem você
Vem me tirar da solidão,
Fazer feliz meu coração
Já não importa quem errou
O que passou, passou",pt
/harmonia-do-samba/,Meus Sentimentos,/harmonia-do-samba/meus-sentimentos.html,"Volta pra mim...

Estou sozinho precisando de você
Pergunto a Deus o que eu posso fazer
Pra reconquistar o seu amor

Volta pra mim...

Já sinto falta do teu cheiro, teu abraço
Tentei de tudo já não sei mas o que faço
Nas noites frias preciso do teu calor

Por que fez assim
Me abandonando sem me dar explicação
Será que não percebe magoou meu coração
Sem motivo algum interrompendo uma linda paixão

Meu amor, eu não sei o que fazer
Eu não sei se te procuro ou se tento te esquecer
Não sei como o cupido me flechou
Só sei que estou apaixonado e enlouquecendo de amor

Um amor tratado como fruto de um sentimento
Quem não teve aguarde, pois terá o seu momento
Seu momento
Seu momento
De amar

Quando me pego parado
Fico até me perguntando
De onde é que vem sentimento soberano
Que a gente não consegue controlar

Meu amor
E amor, eu não sei o que fazer
Eu não sei se te procuro ou se tento te esquecer
E não sei como o cupido me flechou
Só sei que estou apaixonado e enlouquecendo de amor

Um amor tratado como fruto de um sentimento
Quem não teve aguarde, pois terá o seu momento
Seu momento
Seu momento
De amar

Quando me pego parado
Fico até me perguntando
De onde é que vem sentimento soberano
E a gente não consegue controlar

Meu amor
E amor, eu não sei o que fazer
Eu não sei se te procuro ou se tento te esquecer
E não sei como o cupido me flechou
Só sei que estou apaixonado e enlouquecendo de amor

Meu amor
E amor, eu não sei o que fazer
Eu não sei se te procuro ou se tento te esquecer
E não sei como o cupido me flechou
Só sei que estou apaixonado e enlouquecendo de amor

E estou apaixonado e enlouquecendo de amor
Mas eu estou apaixonado, enlouquecendo de amor
De amor
De amor",pt
/ara-ketu/,Mal-Acostumado,/ara-ketu/mal-acostumado.html,"Amor de verdade eu só senti
Foi com você meu bem
E todas as loucuras desse nosso amor
Você me deu também
Você já faz parte da minha vida
E fica tão difícil dividir você de mim
E quando faz carinho me abraça
Aí eu fico de graça
Te chamando pra me amar
Mal acostumado
Você me deixou
Mal acostumado
Com o seu amor
Então volta
Traz de volta o meu sorriso
Sem você não posso ser feliz
Mal acostumado
Você me deixou
Mal acostumado
Com o seu amor
Então volta
Traz de volta o meu sorriso
Sem você não posso ser feliz",pt
/daniela-mercury/,Baianidade Nagô,/daniela-mercury/baianidade-nago.html,"Já pintou verão
Calor no coração
A festa vai começar
Salvador se agita
Numa só alegria
Eternos dodô e osmar
Na avenida sete
Da paz eu sou tiete
Na barra o farol a brilhar
Carnaval na Bahia
Oitava maravilha
Nunca irei te deixar meu amor

Eu vou

Atrás do trio elétrico vou
Dançar ao negro toque do agogô

Curtindo a minha baianidade nagô
Eu queria
Que essa fantasia fosse eterna quem sabe um dia a paz
Vence a guerra
E viver será só festejar

Êô êô laiá êô êô laiá",pt
/olodum/,Canto Ao Pescador,/olodum/canto-ao-pescador.html,"Jogou sua rede
Oh pescador
Se encantou com a beleza
Deste lindo mar

É dois de fevereiro
É dia de Iemanjá
Levo-te oferendas
para lhe ofertar

E sem idolatria
o Olodum seguirá
É, como dizia Caymmi
Insigne o homem cantando a encantar

Minha jangada vai sair pro mar
Vou trabalhar
meu bem querer

Sei que o mar da história
é agitado
E o Olodum a onda que virá
Em forma de dilúvio vem
me despertar amor
Em forma de dilúvio vem
Exterminar

Com sequelas racistas
E trazendo ideais de amor e paz
Com sequelas racistas
E trazendo ideais

Oloxum, Inaê
Janaína
E mara, mara, mara,
marabôcaiala, sobá
Viaja ê
Se baila

Me leva Olodum em sua onda
que eu quero ir (viajar...) (pro mar...) - 2a. vez
Viaja ê,
Se baila

Me leva Olodum em sua onda
Que eu quero ir
Olodum, Navio Negreiro
Atracou em Salvador

Trouxe a música emitindo
Ideais da negra flor
E hoje eu sou do mar
Condutor da embarcação
E hoje é sal do mar
Condutor da embarcação

By Lana",pt
/netinho/,Baianidade Nagô,/netinho/baianidade-nago.html,"Eu queria
Que essa fantasia fosse eterna
Quem sabe um dia a paz vence a guerra
E viver será só festejar, eô, eô

Já pintou verão
Calor no coração
A festa vai começar
Salvador se agita
Numa só alegria
Eternos Dodô e Osmar

Na avenida sete
Na paz eu sou tiete
Na barra o farol a brilhar
Carnaval da bahia
Oitava maravilha
Eu nunca irei te deixar, meu amor

Eu vou
Atrás do trio elétrico vou
Dançar ao negro toque do agogô
Curtindo minha baianidade nagô ô ô ô ô

Eu queria
Que essa fantasia fosse eterna
Quem sabe um dia a paz vence a guerra
E viver será só festejar, eô, eô",pt
