RUN	testDataset	testdataset	1679619635519	 	3.9.2
USER	Actualizar datos	START	1679619636784
USER	Obtener datos	START	1679619636786
USER	Borrar datos	START	1679619636787
USER	Crear datos	START	1679619636792
REQUEST		Delete	1679619636783	1679619636841	OK	 
REQUEST		Update	1679619636781	1679619636840	OK	 
REQUEST		Select	1679619636784	1679619636840	OK	 
REQUEST		Create	1679619636790	1679619636833	OK	 
USER	Borrar datos	END	1679619636864
USER	Actualizar datos	END	1679619636864
USER	Crear datos	END	1679619636864
USER	Obtener datos	END	1679619636864
USER	Obtener datos	START	1679619636866
REQUEST		Select	1679619636865	1679619636884	OK	 
USER	Obtener datos	END	1679619636884
USER	Obtener datos	START	1679619636930
USER	Borrar datos	START	1679619636930
USER	Crear datos	START	1679619636931
REQUEST		Delete	1679619636929	1679619636955	OK	 
USER	Borrar datos	END	1679619636956
REQUEST		Create	1679619636930	1679619636959	OK	 
USER	Crear datos	END	1679619636959
REQUEST		Select	1679619636929	1679619636960	OK	 
USER	Obtener datos	END	1679619636961
USER	Obtener datos	START	1679619637039
REQUEST		Select	1679619637038	1679619637051	OK	 
USER	Obtener datos	END	1679619637052
USER	Crear datos	START	1679619637131
USER	Borrar datos	START	1679619637131
USER	Obtener datos	START	1679619637132
REQUEST		Create	1679619637130	1679619637168	OK	 
REQUEST		Select	1679619637131	1679619637168	OK	 
USER	Obtener datos	END	1679619637169
USER	Crear datos	END	1679619637169
REQUEST		Delete	1679619637130	1679619637169	OK	 
USER	Borrar datos	END	1679619637169
USER	Actualizar datos	START	1679619637225
USER	Obtener datos	START	1679619637225
REQUEST		Select	1679619637224	1679619637246	OK	 
USER	Obtener datos	END	1679619637247
REQUEST		Update	1679619637224	1679619637250	OK	 
USER	Actualizar datos	END	1679619637250
USER	Borrar datos	START	1679619637333
USER	Crear datos	START	1679619637333
USER	Obtener datos	START	1679619637333
REQUEST		Select	1679619637332	1679619637364	OK	 
USER	Obtener datos	END	1679619637365
REQUEST		Create	1679619637332	1679619637374	OK	 
USER	Crear datos	END	1679619637375
REQUEST		Delete	1679619637332	1679619637376	OK	 
USER	Borrar datos	END	1679619637377
USER	Obtener datos	START	1679619637425
REQUEST		Select	1679619637425	1679619637440	OK	 
USER	Obtener datos	END	1679619637441
USER	Crear datos	START	1679619637533
USER	Borrar datos	START	1679619637533
USER	Obtener datos	START	1679619637533
REQUEST		Create	1679619637532	1679619637554	OK	 
USER	Crear datos	END	1679619637554
REQUEST		Select	1679619637532	1679619637554	OK	 
USER	Obtener datos	END	1679619637554
REQUEST		Delete	1679619637533	1679619637559	OK	 
USER	Borrar datos	END	1679619637559
USER	Obtener datos	START	1679619637627
REQUEST		Select	1679619637626	1679619637642	OK	 
USER	Obtener datos	END	1679619637643
USER	Obtener datos	START	1679619637734
USER	Actualizar datos	START	1679619637734
USER	Borrar datos	START	1679619637734
USER	Crear datos	START	1679619637736
REQUEST		Create	1679619637734	1679619637770	OK	 
USER	Crear datos	END	1679619637771
REQUEST		Update	1679619637734	1679619637773	OK	 
USER	Actualizar datos	END	1679619637774
REQUEST		Delete	1679619637734	1679619637775	OK	 
USER	Borrar datos	END	1679619637775
REQUEST		Select	1679619637734	1679619637778	OK	 
USER	Obtener datos	END	1679619637778
USER	Obtener datos	START	1679619637828
REQUEST		Select	1679619637827	1679619637842	OK	 
USER	Obtener datos	END	1679619637843
USER	Crear datos	START	1679619637937
USER	Borrar datos	START	1679619637937
USER	Obtener datos	START	1679619637938
REQUEST		Delete	1679619637936	1679619637964	OK	 
USER	Borrar datos	END	1679619637965
REQUEST		Create	1679619637936	1679619637966	OK	 
USER	Crear datos	END	1679619637966
REQUEST		Select	1679619637936	1679619637966	OK	 
USER	Obtener datos	END	1679619637967
USER	Obtener datos	START	1679619638028
REQUEST		Select	1679619638028	1679619638041	OK	 
USER	Obtener datos	END	1679619638041
USER	Crear datos	START	1679619638136
USER	Borrar datos	START	1679619638136
USER	Obtener datos	START	1679619638136
REQUEST		Create	1679619638135	1679619638160	OK	 
USER	Crear datos	END	1679619638161
REQUEST		Select	1679619638135	1679619638163	OK	 
USER	Obtener datos	END	1679619638163
REQUEST		Delete	1679619638135	1679619638164	OK	 
USER	Borrar datos	END	1679619638164
USER	Actualizar datos	START	1679619638228
USER	Obtener datos	START	1679619638228
REQUEST		Select	1679619638228	1679619638243	OK	 
USER	Obtener datos	END	1679619638244
REQUEST		Update	1679619638228	1679619638254	OK	 
USER	Actualizar datos	END	1679619638254
USER	Crear datos	START	1679619638337
USER	Borrar datos	START	1679619638338
USER	Obtener datos	START	1679619638338
REQUEST		Create	1679619638337	1679619638364	OK	 
USER	Crear datos	END	1679619638364
REQUEST		Select	1679619638337	1679619638365	OK	 
REQUEST		Delete	1679619638338	1679619638365	OK	 
USER	Obtener datos	END	1679619638365
USER	Borrar datos	END	1679619638365
USER	Obtener datos	START	1679619638430
REQUEST		Select	1679619638429	1679619638443	OK	 
USER	Obtener datos	END	1679619638443
USER	Borrar datos	START	1679619638538
USER	Crear datos	START	1679619638538
USER	Obtener datos	START	1679619638539
REQUEST		Select	1679619638539	1679619638557	OK	 
USER	Obtener datos	END	1679619638558
REQUEST		Delete	1679619638538	1679619638559	OK	 
USER	Borrar datos	END	1679619638559
REQUEST		Create	1679619638538	1679619638562	OK	 
USER	Crear datos	END	1679619638562
USER	Obtener datos	START	1679619638631
REQUEST		Select	1679619638630	1679619638643	OK	 
USER	Obtener datos	END	1679619638644
USER	Actualizar datos	START	1679619638727
USER	Borrar datos	START	1679619638727
USER	Obtener datos	START	1679619638729
USER	Crear datos	START	1679619638742
